instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,unique_write_targets_count,anomaly_score_0.2,anomaly_0.2
1,0,0.0,5940,0.7543815087630176,7874,,0.012530520411943413,1
2,0,0.0,5780,0.753978606835377,7666,,0.012530520411943413,1
3,0,0.0,5950,0.7544059845315075,7887,,0.012530520411943413,1
4,0,0.0,5960,0.751008064516129,7936,,-0.08774358403861027,-1
5,0,0.0,5960,0.743142144638404,8020,,-0.13912789870563302,-1
6,0,0.0,5960,0.7493085240130751,7954,,-0.13912789870563302,-1
7,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
8,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
9,0,0.0,5970,0.7542640555906507,7915,,0.012530520411943413,1
10,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
11,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
12,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
13,0,0.0,5970,0.7542640555906507,7915,,0.012530520411943413,1
14,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
15,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
16,0,0.0,5970,0.7542640555906507,7915,,0.012530520411943413,1
17,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
18,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
19,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
20,0,0.0,5970,0.7544546948060155,7913,,0.012530520411943413,1
21,0,0.0,5970,0.7510378663982891,7949,,-0.0840022809974812,-1
22,0,0.0,5950,0.7432854465958776,8005,,-0.13912789870563302,-1
23,0,0.0,5940,0.7530425963488844,7888,,-0.008339222464265994,-1
24,0,0.0,5940,0.7543815087630176,7874,,0.012530520411943413,1
25,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
26,0,0.0,5960,0.7542394330549228,7902,,0.012530520411943413,1
27,0,0.0,5960,0.7544303797468355,7900,,0.012530520411943413,1
28,0,0.0,5970,0.7542640555906507,7915,,0.012530520411943413,1
29,0,0.0,5970,0.7546454304133485,7911,,0.012530520411943413,1
