instance,write_anomaly_count,write_anomaly_ratio,write_ops_count,write_ops_ratio,total_packets,anomaly_score_0.25,Network_Predicted_Label,Network_Ground_Truth,Network_Label_3Class,Process_Predicted_Label,Prob_Class_0,Prob_Class_1,Prob_Class_2,Prob_Class_3,Prob_Class_4,Process_Ground_Truth,Label_Description,process_score,Process_Label_3Class,final_fused_label,decision_reason,true_binary,process_binary,network_binary,fused_binary
27,2,0.000789889,569,0.224723539,2532,-0.282645028,1,1,Network - Anomaly,2,0.0184,0.0012,0.8682,0.11199999999999999,0.0002,2,Label 2: Gripper_SuctionForceRelease,0.8682,Process - Anomaly,2,confident_threat,1,1,1,1
28,3,0.00118624,594,0.234875445,2529,-0.007074589,1,1,Network - Marginal,2,0.0,0.0,1.0,0.0,0.0,2,Label 2: Gripper_SuctionForceRelease,1.0,Process - Anomaly,2,confident_threat,1,1,1,1
29,2,0.000813339,576,0.234241562,2459,0.140438742,0,1,Network - Normal,2,0.0,0.0,0.9998999999999999,0.0,0.0,2,Label 2: Gripper_SuctionForceRelease,0.9998999999999999,Process - Anomaly,2,confident_threat,1,1,0,1
30,4,0.001671542,546,0.228165483,2393,-0.282645028,1,1,Network - Anomaly,2,0.0,0.0,1.0,0.0,0.0,2,Label 2: Gripper_SuctionForceRelease,1.0,Process - Anomaly,2,confident_threat,1,1,1,1
31,3,0.001663894,412,0.228508042,1803,-0.282645028,1,1,Network - Anomaly,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
32,6,0.002623524,538,0.235242676,2287,-0.007074589,1,1,Network - Marginal,3,0.0007000000000000001,0.0004,0.0011,0.9975,0.0003,3,Label 3: Gripper_ZAxisDirectionManipulation,0.9975,Process - Anomaly,3,confident_threat,1,1,1,1
33,10,0.00390625,602,0.23515625,2560,-0.007074589,1,1,Network - Marginal,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
34,13,0.00526529,576,0.233292831,2469,-0.092790404,1,1,Network - Anomaly,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
35,6,0.00229709,601,0.230091884,2612,-0.282645028,1,1,Network - Anomaly,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
36,2,0.00079968,570,0.227908836,2501,-0.282645028,1,1,Network - Anomaly,3,0.0005,0.0074,0.0233,0.9688,0.0001,3,Label 3: Gripper_ZAxisDirectionManipulation,0.9688,Process - Anomaly,3,confident_threat,1,1,1,1
37,3,0.001413095,479,0.225624117,2123,-0.282645028,1,1,Network - Anomaly,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
38,11,0.004818222,533,0.233464739,2283,-0.074931928,1,1,Network - Anomaly,3,0.0,0.0,0.0,1.0,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,1.0,Process - Anomaly,3,confident_threat,1,1,1,1
39,15,0.006195787,571,0.235852953,2421,-0.007074589,1,1,Network - Marginal,3,0.0016,0.0333,0.0207,0.9443,0.0002,3,Label 3: Gripper_ZAxisDirectionManipulation,0.9443,Process - Anomaly,3,confident_threat,1,1,1,1
40,3,0.001191422,564,0.223987292,2518,-0.282645028,1,1,Network - Anomaly,3,0.0001,0.0,0.0,0.9998999999999999,0.0,3,Label 3: Gripper_ZAxisDirectionManipulation,0.9998999999999999,Process - Anomaly,3,confident_threat,1,1,1,1
41,6,0.002389486,577,0.229788929,2511,-0.282645028,1,1,Network - Anomaly,1,0.005600000000000001,0.9667,0.0103,0.0084,0.009000000000000001,4,Label 4: Gripper_RotationDeviation,0.9667,Process - Anomaly,1,confident_threat,1,1,1,1
42,1,0.00045045,506,0.227927928,2220,-0.282645028,1,1,Network - Anomaly,3,0.0004,0.0002,0.0002,0.9989,0.0003,4,Label 4: Gripper_RotationDeviation,0.9989,Process - Anomaly,3,confident_threat,1,1,1,1
43,6,0.002305919,601,0.230976172,2602,-0.233749612,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
44,3,0.001188119,580,0.22970297,2525,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
45,3,0.001344688,509,0.228148812,2231,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,0.9998999999999999,4,Label 4: Gripper_RotationDeviation,0.9998999999999999,Process - Anomaly,4,confident_threat,1,1,1,1
46,4,0.00155642,580,0.225680934,2570,-0.282645028,1,1,Network - Anomaly,4,0.3696,0.062,0.0089,0.0103,0.5492,4,Label 4: Gripper_RotationDeviation,0.5492,Process - Marginal,4,confident_threat,1,1,1,1
47,1,0.000413052,553,0.228418009,2421,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
48,2,0.000782167,589,0.230348064,2557,-0.262138708,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
49,1,0.00042735,518,0.221367521,2340,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
50,1,0.000398565,576,0.229573535,2509,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0,0.0,0.0,1.0,4,Label 4: Gripper_RotationDeviation,1.0,Process - Anomaly,4,confident_threat,1,1,1,1
51,7,0.002851324,575,0.234215886,2455,0.146823419,0,1,Network - Normal,1,0.002,0.9826999999999999,0.0083,0.0046,0.0024,5,Label 5: Multi_Vector_Combined,0.9826999999999999,Process - Anomaly,1,confident_threat,1,1,0,1
52,11,0.004513746,571,0.234304473,2437,0.075144276,0,1,Network - Normal,3,0.0036,0.04650000000000001,0.2271,0.7178,0.0051,5,Label 5: Multi_Vector_Combined,0.7178,Process - Marginal,3,conflict_process_higher,1,1,0,1
53,24,0.009856263,570,0.234086242,2435,0.152888929,0,1,Network - Normal,4,0.0,0.009399999999999999,0.0,0.0004,0.9902,5,Label 5: Multi_Vector_Combined,0.9902,Process - Anomaly,4,confident_threat,1,1,0,1
54,23,0.008959875,584,0.227502922,2567,-0.282645028,1,1,Network - Anomaly,1,0.0002,0.9975,0.0013,0.0009,0.0,5,Label 5: Multi_Vector_Combined,0.9975,Process - Anomaly,1,confident_threat,1,1,1,1
55,1,0.000542594,410,0.222463375,1843,-0.282645028,1,1,Network - Anomaly,4,0.0,0.0001,0.0,0.0,0.9998,5,Label 5: Multi_Vector_Combined,0.9998,Process - Anomaly,4,confident_threat,1,1,1,1
56,3,0.001175088,580,0.227183705,2553,-0.282645028,1,1,Network - Anomaly,2,0.0013,0.2616,0.7343999999999999,0.0024,0.0003,5,Label 5: Multi_Vector_Combined,0.7343999999999999,Process - Marginal,2,confident_threat,1,1,1,1
57,5,0.001944769,585,0.227537923,2571,-0.282645028,1,1,Network - Anomaly,2,0.0,0.0,0.9995999999999999,0.0003,0.0001,5,Label 5: Multi_Vector_Combined,0.9995999999999999,Process - Anomaly,2,confident_threat,1,1,1,1
58,5,0.00209468,557,0.233347298,2387,-0.083795129,1,1,Network - Anomaly,2,0.0,0.3258,0.6718000000000001,0.0018,0.0006,5,Label 5: Multi_Vector_Combined,0.6718000000000001,Process - Marginal,2,confident_threat,1,1,1,1
59,15,0.006150062,571,0.234112341,2439,0.151403203,0,1,Network - Normal,1,0.0001,0.9840000000000001,0.0002,0.015700000000000002,0.0,5,Label 5: Multi_Vector_Combined,0.9840000000000001,Process - Anomaly,1,confident_threat,1,1,0,1
60,0,0.0,596,0.230471771,2586,-0.256376596,1,1,Network - Anomaly,0,0.7822,0.0,0.21780000000000002,0.0,0.0,5,Label 5: Multi_Vector_Combined,0.21780000000000002,Process - Marginal,2,conflict_network_higher,1,0,1,1
