timestamp,instance,node_ids_written,source_ports,message_sizes,explanation,anomaly_score,timestamp_bst
2025-05-09 15:53:00,139,"-, MCDData.Conveyor2_Speed","53373, 53218, 52131","253, 100, 204, 189, 2488",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:53:00+01:00
2025-05-09 15:54:00,140,"-, MCDData.Conveyor3_Speed","53373, 53218, 52131","253, 100, 204, 189, 422",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:54:00+01:00
2025-05-09 15:55:00,141,"-, MCDData.Conveyor3_Speed","53373, 52131, 53218","253, 100, 204, 189, 136",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:55:00+01:00
2025-05-09 15:56:00,142,-,"53373, 53218, 52131","253, 100, 204, 189, 2417",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:56:00+01:00
2025-05-09 15:57:00,143,"-, MCDData.Conveyor3_Speed","53373, 53218, 52131","253, 100, 204, 189, 2391",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:57:00+01:00
2025-05-09 15:58:00,144,"-, MCDData.GetBox_signal, MCDData.RotatePosition","53373, 52131, 53218","253, 100, 204, 189, 159",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:58:00+01:00
2025-05-09 15:59:00,145,"-, MCDData.RotatePosition, MCDData.Gripper_Z_Speed","53373, 52131, 53218","253, 100, 204, 189, 132",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 16:59:00+01:00
2025-05-09 16:00:00,146,"-, MCDData.RotatePosition","53373, 52131, 53218","253, 100, 204, 189, 132",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 17:00:00+01:00
2025-05-09 16:01:00,147,-,"52131, 53373, 53218","85, 66, 253, 100, 204",Unusual OPC UA write pattern detected,-0.11737401232977551,2025-05-09 17:01:00+01:00
2025-05-09 16:02:00,148,,"53218, 53373","1787, 74, 1582, 96, 66",Unusual OPC UA write pattern detected,-0.13912789870563302,2025-05-09 17:02:00+01:00
